something,latinname,name,nature and garden,description,water_freq_avg,image,family,avrage height,light preference,soil,flowering,temperature,fertilizer,watering,careinfo
,Aloe vera,Aloe Vera,,"Aloe vera is a very ornamental indoor plant, easy to care for and not demanding at any time during the year.Its leaves are original and elegant, and it is also used for its medicinal properties, especially in the field of cosmetics",7,https://cdn.pixabay.com/photo/2014/03/02/05/27/aloe-vera-277948_1280.jpg,Liliaceae (lily family),1 ⅓ to 3 feet (0.5 to 1 meter),"well-lit, Aloe vera requires a good deal of light but doesn’t appreciate direct sunlight which tends to dehydrate the plant",soil mix + sand,March,"The temperature of a house or apartment is perfect, because ideal temperatures range from 65 to 70° F (18 to 21° C) all year round.From May to September, you can bring your plant outdoors without any problems, but do bring it back inside in the evening if nights are cold.",,"Watering in spring and summer - Watering must be moderate but regular, more or less once a week. Best is to water when the surface of the soil has dried out.Don’t wait too long, especially if it is hot, because the plant could suffer from it; Watering in fall and winter - Slowly restrict watering during the dormant state.Wait for the soil to dry off to about an inch deep (a few centimeters) before watering again with lukewarm water. You’ll water again at a normal rhythm in spring, when the plant starts growing again."",","Once every 3 years at most, repot your Aloe vera in spring after the blooming."
,Zamioculcas zamiifolia, Zanzibar Gem,,Many are familiar with the survivor plant Zamioculcas zamiifolia – but the Raven ZZ boasts a deep purple-green sheen that blasts the houseplant world up to a whole new level!Non-lethal calcium oxalate crystals occur in all parts of the plant and can be mildly irritating to sensitive skins. Wear gloves if you’re in that situation and need to repot or split your Zamioculcas raven.,14,"https://ss2.bdstatic.com/70cFvnSh_Q1YnxGkpoWK1HF6hhy/it/u=3939155471,2162849239&fm=15&gp=0.jpg",Family – Araceae,Height – 1 ½ to 3 feet (45 to 90 cm),"Exposure – well-lit. Zamioculcas raven will survive in very low light conditions, which makes it suitable for use in the office or even in poorly lit rooms like bathrooms. However, for it to thrive and grow, it helps to put it in a very well-lit place while avoiding direct sunlight.","Soil type – draining soil mix, for it to grow to a full three feet (1 meter), give it a pot that is at least a foot and a half across (45 cm) and deep.",,,,"Zamioculcas raven, originating from the African-born Zamioculcas zamiifolia plant, is a flexible plant that can cope well with irregular watering.Watering in summer – Zamioculcas raven thrives when watered a small amount every two weeks. Watering in winter – this dormant phase means the raven ZZ plant only needs water once a month.",
,Ficus elastica,Rubber Plant,,The rubber tree or Ficus elastica is a very beautiful indoor plant much liked for its shiny thick leathery leaves.,7,https://images.pexels.com/photos/993018/pexels-photo-993018.jpeg?auto=compress&cs=tinysrgb&h=750&w=1260,Family – Moraceae (mulberry family),Height – 10 feet (3 meters) indoors,"Exposure – abundant indirect light, It must be set in a luminous room but cannot be exposed to sunlight.",Soil – indoor plant soil mix,,It likes temperatures from 60 to 75°F (15 to 25°C).,,"This tropical plant abhors dry air. It must be provided with as much moisture as is possible to compensate this lack. Water once a week, but wait for the soil to be dry before watering again.",
,Mandevilla sanderi,Brazilian Jasmine,,"Mandevilla – some species of which are called Dipladenia – are remarkable climbing shrub vines."",",7,"https://ss2.bdstatic.com/70cFvnSh_Q1YnxGkpoWK1HF6hhy/it/u=1728673790,1830972534&fm=15&gp=0.jpg",Apocynceae or dogbane,Height – 10 feet long or tall (3 meters),"well-lit,choose a very well-lit space for your flowering vines, but not in direct sunlight behind a window.",well-drained,June to October,"Temperatures of at least 68°F (20°C) are required for this plant to survive.Ideal temperatures are around 68 to 70° F (20 to 21° C) in summer, and 50 to 60°F (10 to 15°C) in winter."",",,"Water regularly but not too much, to avoid suffocating roots.","Care for both Mandevilla and Dipladenia is almost identical. From planting to pruning and including watering, they should give you magnificent flowers in summer!"
,Cyclamen persicum,Cyclaman,,"family:""Apocynceae or dogbane",3,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1575973946894&di=fd685e522b649ea1ff975b2bed51ebfb&imgtype=0&src=http%3A%2F%2Fb-ssl.duitang.com%2Fuploads%2Fitem%2F201506%2F17%2F20150617210756_wiMys.jpeg,Family – Primulaceae,Height – 2 to 4 inches (5 to 10 cm),"Exposure – part sun, Cyclamen can’t stand heat. It appreciates cool evenings.",Soil – light and well drained,Flowering – November to March,"watering:""Water regularly but not too much, to avoid suffocating roots.",,Watering 2 or 3 times a week should be enough.,It is recommended to plant cyclamen tubers end of summer or beginning of fall.
,Euphorbia pulcherrima,Poinsettia,,"Poinsettia is one of the cutest indoor plants, often quite remarkable around New Year’s and Christmas.",3,"https://ss1.bdstatic.com/70cFuXSh_Q1YnxGkpoWK1HF6hhy/it/u=3080753481,1211567264&fm=15&gp=0.jpg",Family – Euphorbiaceae,"Towards the end of April, cut back stems by about ⅓, they should not be any taller than 4 inches (10 cm).",Exposure – well-lit. It is recommended to place clay pebbles at the bottom of the pot to facilitate drainage and avoid having the roots linger in water.,Soil – soil mix,Flowering – November to March,It is perfectly suited to living indoors. The ideal air temperature ranges between 65°F and 68°F (18°C to 20°C).,"Don’t add any fertilizer during the blooming phase. Outside this period, start feeding it liquid flower plant fertilizer once a month",It is crucial that you water with water at room temperature or warmer than 70°F (20°C). Cold water can kill it,"Your plant enters a dormant state. What is called “blooming” for poinsettia is actually a set of red or yellow leaves, because the poinsettia flowers themselves are quite insignificant."
,Strelitzia reginae,Crane Flower,,"Strelitzia is a superb plant that comes from the tropics, boasting simply magnificent flowers and nicely dense leafage.",5,https://images.pexels.com/photos/59872/strelitzia-blossom-bloom-flower-59872.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=750&w=1260,Strelitziaceae,3 to 6 ½ feet (1 to 2 meters),"ull sun, part sun","it requires proper flower plant soil mix.rather moist soil, cool but well drained.",May to September,"Strelitzia is sensitive to frost, even light frost below 35°F (2°C) and thus can only be planted directly in the ground in regions with mild enough winters.It normally lives in the warmer regions of the globe that offer rather tropical growing conditions and must be grown in pots and brought indoors in winter if this isn’t the case.",,"In summer, when the weather is hot, it is important to water your strelitzia often, especially when grown in pots.","If it was planted in the ground outdoors, it means your climate will allow for it, and so there isn’t much to do except to protect the plant if ever temperatures drop"
,Zygocactus truncatus,Zygocactus,,"This is the ideal plant to provide warm colors during the cold season.An abundantly flowering succulent, the Christmas cactus will bloom for six to eight weeks every winter.",9,"https://ss2.bdstatic.com/70cFvnSh_Q1YnxGkpoWK1HF6hhy/it/u=143194240,3716755864&fm=15&gp=0.jpg",,,"The Christmas cactus is an easy and hardy plant once the proper place for it has been found. It needs a luminous spot, but with neither direct sun nor drafts of wind. In fall, place it at rest, without watering, in a room that only gets natural light, for two months, until flower buds appear.",,,"The temperature must constantly hover between 60 and 70°F (15 to 20°C), because it doesn’t like heat.",,"Water once a week during the blooming season, and remove wilted flowers one at a time to boost appearance of new flower buds. When the plant isn’t bearing flowers, wait until the soil is dry before watering anew.","Once you’ve found the spot that it seems to like best, keep it there: it doesn’t like being moved around!"
,Echinocactus grusonii,Golden Barrel Cactus,,Crassula is an indoor succulent plant family that displays surprising evergreen leafage. It shows up in more and more places for its very trendy ornamental value.,15,"https://ss2.bdstatic.com/70cFvnSh_Q1YnxGkpoWK1HF6hhy/it/u=612470228,1141642566&fm=15&gp=0.jpg",Crassulaceae,8 inches (20 cm),set in a luminous place,"Soil – light, well-drained.The soil must stay rather nutrient-poor, no fertilizer is needed.",,"Since cacti are used to temperature going up and down, they can live both in hot stuffy rooms and in cold or cool rooms.",,"You don’t need to water at all in winter. In summer, water from time to time, but ensure the soil has dried up completely before watering again.",don’t overwater!
,Dracaena marginata,Madagascar Dragon Tree,,"Dracaena marginata, often thought to be a palm tree, is a truly magnificent indoor plant.",7,https://timgsa.baidu.com/timg?image&quality=80&size=b9999_10000&sec=1575974418023&di=36442e68a73504170c18de690b3d8300&imgtype=0&src=http%3A%2F%2Ftaibif.org.tw%2Fbiomap%2Fflora%2Fstage4%2F231%2F3.jpg,Family – Agavoideae (formerly Agavaceae),Height – 3 to 6 ½ feet (1 to 2 meters),"Exposure – very well-lit, or even full sun",,"Soil – soil mix. Growing Dracaena marginata in a pot requires good soil mix that can be amended with ⅓ compost, if you’ve got some at hand.

","Generally speaking, dracaena marginata is intolerant to the cold and will only grow outside in places where the temperature never drops below 63 to 65°F (17 to 18°C), even in winter.",Not needed,"Water as little as you dare because this is a plant that stores water in its leaves.During the blooming, 1 to 2 watering sessions a week, when the soil has dried well.","If you live in a house that is quite dark, avoid dracaena because it won’t cope with the low luminosity."
